id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	Neoplastic|Neoplastic	Neoplastic|microglial_cell	microglial_cell|Neoplastic	microglial_cell|microglial_cell
CPI-SS014958F32	LGALS9_CD47	simple:O00182	simple:Q08722	ENSG00000168961	ENSG00000196776	True	False	True	InnateDB-All	False	0.183	0.122	0.53	0.469
CPI-SS0339AE950	SIRPA_CD47	simple:P78324	simple:Q08722	ENSG00000198053	ENSG00000196776	False	True	True	curated	False	0.228	0.168	0.32	0.26
CPI-SS0BD9F32BA	LGALS9_DAG1	simple:O00182	simple:Q14118	ENSG00000168961	ENSG00000173402	True	False	True	InnateDB-All	False	0.109	0.015	0.456	0.362
CPI-SS0A9FB762A	LGALS9_PTPRK	simple:O00182	simple:Q15262	ENSG00000168961	ENSG00000152894	True	False	True	InnateDB-All	False	0.036	0.009	0.383	0.356
CPI-SS0472C478C	BMP7_PTPRK	simple:P18075	simple:Q15262	ENSG00000101144	ENSG00000152894	True	False	True	InnateDB-All	False	0.139	0.113	0.029	0.003
CPI-SS0CB863B46	WNT5A_PTPRK	simple:P41221	simple:Q15262	ENSG00000114251	ENSG00000152894	True	False	True	InnateDB-All	False	0.04	0.014	0.089	0.063
CPI-SS08877A081	LGALS9_COLEC12	simple:O00182	simple:Q5KU26	ENSG00000168961	ENSG00000158270	True	False	True	InnateDB-All	False	0.02	0.017	0.367	0.364
CPI-SS0E23CEB91	LGALS9_HAVCR2	simple:O00182	simple:Q8TDQ0	ENSG00000168961	ENSG00000135077	True	False	True	curated	False	0.018	0.393	0.365	0.74
CPI-CS0253C9C61	GALR2_SPX	complex:GALR2	simple:Q9BT56		ENSG00000134548	True	True	False	curated	False	0.002	0.001	0.0	0.0
CPI-SS09C06644C	CADM3_CADM1	simple:Q8N126	simple:Q9BY67	ENSG00000162706	ENSG00000182985	False	False	False	curated	False	0.193	0.088	0.162	0.057
CPI-SS0889E281D	CADM1_CADM1	simple:Q9BY67	simple:Q9BY67	ENSG00000182985	ENSG00000182985	False	False	False	curated	False	0.323	0.218	0.218	0.113
CPI-SS0C9696AAA	CRTAM_CADM1	simple:O95727	simple:Q9BY67	ENSG00000109943	ENSG00000182985	False	False	False	curated	False	0.163	0.058	0.166	0.061
CPI-SS02D18D12B	CADM3_CADM4	simple:Q8N126	simple:Q8NFZ8	ENSG00000162706	ENSG00000105767	False	False	False	curated	False	0.181	0.035	0.15	0.004
CPI-SS0B3829651	CADM3_EPB41L1	simple:Q8N126	simple:Q9H4G0	ENSG00000162706	ENSG00000088367	False	False	False	curated	False	0.06	0.033	0.029	0.002
CPI-SS00661A3A4	NECTIN1_CADM3	simple:Q15223	simple:Q8N126	ENSG00000110400	ENSG00000162706	True	True	False	curated	False	0.049	0.018	0.033	0.002
CPI-SS01E0F2D2C	NECTIN1_NECTIN4	simple:Q15223	simple:Q96NY8	ENSG00000110400	ENSG00000143217	True	True	True	curated	False	0.018	0.018	0.001	0.001
CPI-SS0A5DF05C0	TIGIT_NECTIN2	simple:Q495A1	simple:Q92692	ENSG00000181847	ENSG00000130202	False	False	True	curated	False	0.062	0.07	0.062	0.07
CPI-SS06207F70E	CD226_NECTIN2	simple:Q15762	simple:Q92692	ENSG00000150637	ENSG00000130202	False	True	True	curated	False	0.063	0.071	0.087	0.095
CPI-SC07863BB7C	DRD2_SerotoninDopamin_byDDC	simple:P14416	complex:SerotoninDopamin_byDDC	ENSG00000149295		True	True	False	curated	False	0.003	0.0	0.0	0.0
CPI-SC0162A6735	DRD4_SerotoninDopamin_byDDC	simple:P21917	complex:SerotoninDopamin_byDDC	ENSG00000069696		True	True	False	curated	False	0.003	0.0	0.001	0.0
CPI-SC0463F13C5	HTR1D_SerotoninDopamin_byDDC	simple:P28221	complex:SerotoninDopamin_byDDC	ENSG00000179546		True	True	False	curated	False	0.0	0.0	0.0	0.0
CPI-SC083C897C9	HTR1F_SerotoninDopamin_byDDC	simple:P30939	complex:SerotoninDopamin_byDDC	ENSG00000179097		True	True	False	curated	False	0.0	0.0	0.0	0.0
CPI-SC081518F41	HTR2B_SerotoninDopamin_byDDC	simple:P41595	complex:SerotoninDopamin_byDDC	ENSG00000135914		True	True	False	curated	False	0.0	0.0	0.004	0.0
CPI-SC08FDE0757	HTR4_SerotoninDopamin_byDDC	simple:Q13639	complex:SerotoninDopamin_byDDC	ENSG00000164270		True	True	False	curated	False	0.001	0.0	0.0	0.0
CPI-SC028882919	COL1A1_integrin_a10b1_complex	simple:P02452	complex:integrin_a10b1_complex	ENSG00000108821		True	False	False	curated	True	0.017	0.009	0.01	0.001
CPI-SC0AA90A03B	COL2A1_integrin_a10b1_complex	simple:P02458	complex:integrin_a10b1_complex	ENSG00000139219		True	False	False	curated	True	0.011	0.002	0.009	0.001
CPI-SC0A7864078	COL3A1_integrin_a10b1_complex	simple:P02461	complex:integrin_a10b1_complex	ENSG00000168542		True	False	False	curated	True	0.015	0.006	0.01	0.001
CPI-SC0756B421F	COL4A1_integrin_a10b1_complex	simple:P02462	complex:integrin_a10b1_complex	ENSG00000187498		True	False	False	curated	True	0.073	0.064	0.011	0.002
CPI-SC0C91660AB	FN1_integrin_a10b1_complex	simple:P02751	complex:integrin_a10b1_complex	ENSG00000115414		True	False	False	curated	True	0.098	0.089	0.035	0.026
CPI-SC0CED85DDE	COL5A2_integrin_a10b1_complex	simple:P05997	complex:integrin_a10b1_complex	ENSG00000204262		True	False	False	curated	True	0.073	0.064	0.01	0.002
CPI-SC07707E049	COL1A2_integrin_a10b1_complex	simple:P08123	complex:integrin_a10b1_complex	ENSG00000164692		True	False	False	curated	True	0.049	0.04	0.013	0.004
CPI-SC0096917A2	COL4A2_integrin_a10b1_complex	simple:P08572	complex:integrin_a10b1_complex	ENSG00000134871		True	False	False	curated	True	0.076	0.067	0.011	0.002
CPI-SC0B991F6B1	COL11A1_integrin_a10b1_complex	simple:P12107	complex:integrin_a10b1_complex	ENSG00000060718		True	False	False	curated	True	0.038	0.029	0.01	0.001
CPI-SC0251EEF61	COL6A1_integrin_a10b1_complex	simple:P12109	complex:integrin_a10b1_complex	ENSG00000142156		True	False	False	curated	True	0.162	0.154	0.011	0.002
CPI-SC07F654CB3	COL6A2_integrin_a10b1_complex	simple:P12110	complex:integrin_a10b1_complex	ENSG00000142173		True	False	False	curated	True	0.071	0.063	0.01	0.001
CPI-SC059D160BE	COL6A3_integrin_a10b1_complex	simple:P12111	complex:integrin_a10b1_complex	ENSG00000163359		True	False	False	curated	True	0.013	0.004	0.011	0.002
CPI-SC034D4CF73	COL11A2_integrin_a10b1_complex	simple:P13942	complex:integrin_a10b1_complex	ENSG00000204248		True	False	False	curated	True	0.015	0.006	0.01	0.001
CPI-SC050CC3A3F	COL9A1_integrin_a10b1_complex	simple:P20849	complex:integrin_a10b1_complex	ENSG00000112280		True	False	False	curated	True	0.03	0.021	0.01	0.001
CPI-SC05590EDD3	COL5A1_integrin_a10b1_complex	simple:P20908	complex:integrin_a10b1_complex	ENSG00000130635		True	False	False	curated	True	0.018	0.009	0.01	0.001
CPI-SC0FCB8DFBB	COL8A2_integrin_a10b1_complex	simple:P25067	complex:integrin_a10b1_complex	ENSG00000171812		True	False	False	curated	True	0.014	0.006	0.037	0.028
CPI-SC0DA063880	COL5A3_integrin_a10b1_complex	simple:P25940	complex:integrin_a10b1_complex	ENSG00000080573		True	False	False	curated	True	0.029	0.02	0.01	0.001
CPI-SC068FFC547	COL8A1_integrin_a10b1_complex	simple:P27658	complex:integrin_a10b1_complex	ENSG00000144810		True	False	False	curated	True	0.02	0.012	0.01	0.001
CPI-SC0F1833AC0	COL4A5_integrin_a10b1_complex	simple:P29400	complex:integrin_a10b1_complex	ENSG00000188153		True	False	False	curated	True	0.019	0.01	0.01	0.001
CPI-SC01BE5E1F7	COL15A1_integrin_a10b1_complex	simple:P39059	complex:integrin_a10b1_complex	ENSG00000204291		True	False	False	curated	True	0.011	0.002	0.016	0.007
CPI-SC039737584	COL18A1_integrin_a10b1_complex	simple:P39060	complex:integrin_a10b1_complex	ENSG00000182871		True	False	False	curated	True	0.022	0.013	0.028	0.019
CPI-SC030087D4F	COL4A4_integrin_a10b1_complex	simple:P53420	complex:integrin_a10b1_complex	ENSG00000081052		True	False	False	curated	True	0.012	0.003	0.009	0.001
CPI-SC0CC8A2F79	COL4A3_integrin_a10b1_complex	simple:Q01955	complex:integrin_a10b1_complex	ENSG00000169031		True	False	False	curated	True	0.012	0.003	0.009	0.001
CPI-SC0B4771D76	COL7A1_integrin_a10b1_complex	simple:Q02388	complex:integrin_a10b1_complex	ENSG00000114270		True	False	False	curated	True	0.013	0.004	0.01	0.001
CPI-SC0B6D93CD4	COL14A1_integrin_a10b1_complex	simple:Q05707	complex:integrin_a10b1_complex	ENSG00000187955		True	False	False	curated	True	0.012	0.003	0.009	0.001
CPI-SC027EF0F68	COL16A1_integrin_a10b1_complex	simple:Q07092	complex:integrin_a10b1_complex	ENSG00000084636		True	False	False	curated	True	0.048	0.039	0.011	0.002
CPI-SC0BFDE14E9	COL4A6_integrin_a10b1_complex	simple:Q14031	complex:integrin_a10b1_complex	ENSG00000197565		True	False	False	curated	True	0.011	0.002	0.009	0.001
CPI-SC0FD500AF3	COL9A3_integrin_a10b1_complex	simple:Q14050	complex:integrin_a10b1_complex	ENSG00000092758		True	False	False	curated	True	0.15	0.141	0.011	0.003
CPI-SC0A210DC1F	COL9A2_integrin_a10b1_complex	simple:Q14055	complex:integrin_a10b1_complex	ENSG00000049089		True	False	False	curated	True	0.054	0.045	0.034	0.026
CPI-SC0423059DF	COL19A1_integrin_a10b1_complex	simple:Q14993	complex:integrin_a10b1_complex	ENSG00000082293		True	False	False	curated	True	0.01	0.001	0.009	0.001
CPI-SC09E4E673B	COL24A1_integrin_a10b1_complex	simple:Q17RW2	complex:integrin_a10b1_complex	ENSG00000171502		True	False	False	curated	True	0.01	0.001	0.009	0.001
CPI-SC0E9AA9087	COL28A1_integrin_a10b1_complex	simple:Q2UY09	complex:integrin_a10b1_complex	ENSG00000215018		True	False	False	curated	True	0.024	0.016	0.009	0.001
CPI-SC090152EEE	COL27A1_integrin_a10b1_complex	simple:Q8IZC6	complex:integrin_a10b1_complex	ENSG00000196739		True	False	False	curated	True	0.034	0.025	0.01	0.002
CPI-SC0AA500B63	COL22A1_integrin_a10b1_complex	simple:Q8NFW1	complex:integrin_a10b1_complex	ENSG00000169436		True	False	False	curated	True	0.027	0.018	0.01	0.001
CPI-SC008D5E4B2	COL26A1_integrin_a10b1_complex	simple:Q96A83	complex:integrin_a10b1_complex	ENSG00000160963		True	False	False	curated	True	0.01	0.001	0.009	0.001
CPI-SC076898564	COL21A1_integrin_a10b1_complex	simple:Q96P44	complex:integrin_a10b1_complex	ENSG00000124749		True	False	False	curated	True	0.011	0.002	0.009	0.001
CPI-SC0EC720659	COL12A1_integrin_a10b1_complex	simple:Q99715	complex:integrin_a10b1_complex	ENSG00000111799		True	False	False	curated	True	0.012	0.003	0.009	0.001
CPI-SC0F393B830	COL20A1_integrin_a10b1_complex	simple:Q9P218	complex:integrin_a10b1_complex	ENSG00000101203		True	False	False	curated	True	0.052	0.043	0.011	0.002
CPI-SC00942962B	COL17A1_integrin_a10b1_complex	simple:Q9UMD9	complex:integrin_a10b1_complex	ENSG00000065618		True	False	False	curated	True	0.009	0.001	0.009	0.001
CPI-SC0AD2341AF	COL1A1_integrin_a11b1_complex	simple:P02452	complex:integrin_a11b1_complex	ENSG00000108821		True	False	False	curated	True	0.009	0.008	0.002	0.001
CPI-SC0A5E87289	COL2A1_integrin_a11b1_complex	simple:P02458	complex:integrin_a11b1_complex	ENSG00000139219		True	False	False	curated	True	0.003	0.001	0.001	0.0
CPI-SC0C061DC28	COL3A1_integrin_a11b1_complex	simple:P02461	complex:integrin_a11b1_complex	ENSG00000168542		True	False	False	curated	True	0.007	0.006	0.002	0.001
CPI-SC0C351F7DF	COL4A1_integrin_a11b1_complex	simple:P02462	complex:integrin_a11b1_complex	ENSG00000187498		True	False	False	curated	True	0.065	0.064	0.003	0.001
CPI-SC0AE4F5BAB	FN1_integrin_a11b1_complex	simple:P02751	complex:integrin_a11b1_complex	ENSG00000115414		True	False	False	curated	True	0.09	0.088	0.027	0.025
CPI-SC075489ADB	COL5A2_integrin_a11b1_complex	simple:P05997	complex:integrin_a11b1_complex	ENSG00000204262		True	False	False	curated	True	0.065	0.064	0.002	0.001
CPI-SC015ECCD97	COL1A2_integrin_a11b1_complex	simple:P08123	complex:integrin_a11b1_complex	ENSG00000164692		True	False	False	curated	True	0.041	0.04	0.005	0.004
CPI-SC09AE93F66	COL4A2_integrin_a11b1_complex	simple:P08572	complex:integrin_a11b1_complex	ENSG00000134871		True	False	False	curated	True	0.068	0.067	0.003	0.002
CPI-SC06F3DDF90	COL11A1_integrin_a11b1_complex	simple:P12107	complex:integrin_a11b1_complex	ENSG00000060718		True	False	False	curated	True	0.03	0.028	0.002	0.0
CPI-SC0FB1817EE	COL6A1_integrin_a11b1_complex	simple:P12109	complex:integrin_a11b1_complex	ENSG00000142156		True	False	False	curated	True	0.154	0.153	0.003	0.002
CPI-SC0C5B4E222	COL6A2_integrin_a11b1_complex	simple:P12110	complex:integrin_a11b1_complex	ENSG00000142173		True	False	False	curated	True	0.063	0.062	0.002	0.001
CPI-SC044916391	COL6A3_integrin_a11b1_complex	simple:P12111	complex:integrin_a11b1_complex	ENSG00000163359		True	False	False	curated	True	0.005	0.004	0.003	0.001
CPI-SC06DCE672A	COL11A2_integrin_a11b1_complex	simple:P13942	complex:integrin_a11b1_complex	ENSG00000204248		True	False	False	curated	True	0.007	0.006	0.002	0.0
CPI-SC0E8C3A996	COL9A1_integrin_a11b1_complex	simple:P20849	complex:integrin_a11b1_complex	ENSG00000112280		True	False	False	curated	True	0.022	0.021	0.002	0.001
CPI-SC08821B0D2	COL5A1_integrin_a11b1_complex	simple:P20908	complex:integrin_a11b1_complex	ENSG00000130635		True	False	False	curated	True	0.01	0.009	0.002	0.001
CPI-SC0CC30CEC0	COL8A2_integrin_a11b1_complex	simple:P25067	complex:integrin_a11b1_complex	ENSG00000171812		True	False	False	curated	True	0.006	0.005	0.029	0.028
CPI-SC0D0BFC9F7	COL5A3_integrin_a11b1_complex	simple:P25940	complex:integrin_a11b1_complex	ENSG00000080573		True	False	False	curated	True	0.021	0.019	0.002	0.001
CPI-SC04FF0CDA1	COL8A1_integrin_a11b1_complex	simple:P27658	complex:integrin_a11b1_complex	ENSG00000144810		True	False	False	curated	True	0.012	0.011	0.002	0.0
CPI-SC044B5BE16	COL4A5_integrin_a11b1_complex	simple:P29400	complex:integrin_a11b1_complex	ENSG00000188153		True	False	False	curated	True	0.011	0.01	0.002	0.0
CPI-SC0BCE0B954	COL15A1_integrin_a11b1_complex	simple:P39059	complex:integrin_a11b1_complex	ENSG00000204291		True	False	False	curated	True	0.003	0.002	0.008	0.007
CPI-SC0755F1632	COL18A1_integrin_a11b1_complex	simple:P39060	complex:integrin_a11b1_complex	ENSG00000182871		True	False	False	curated	True	0.014	0.013	0.02	0.019
CPI-SC0FAC9844A	COL4A4_integrin_a11b1_complex	simple:P53420	complex:integrin_a11b1_complex	ENSG00000081052		True	False	False	curated	True	0.003	0.002	0.001	0.0
CPI-SC08F17FB3E	COL4A3_integrin_a11b1_complex	simple:Q01955	complex:integrin_a11b1_complex	ENSG00000169031		True	False	False	curated	True	0.004	0.003	0.001	0.0
CPI-SC037038602	COL7A1_integrin_a11b1_complex	simple:Q02388	complex:integrin_a11b1_complex	ENSG00000114270		True	False	False	curated	True	0.005	0.004	0.002	0.0
CPI-SC092A2325E	COL14A1_integrin_a11b1_complex	simple:Q05707	complex:integrin_a11b1_complex	ENSG00000187955		True	False	False	curated	True	0.004	0.003	0.001	0.0
CPI-SC01633DC81	COL16A1_integrin_a11b1_complex	simple:Q07092	complex:integrin_a11b1_complex	ENSG00000084636		True	False	False	curated	True	0.04	0.039	0.002	0.001
CPI-SC01539071B	COL4A6_integrin_a11b1_complex	simple:Q14031	complex:integrin_a11b1_complex	ENSG00000197565		True	False	False	curated	True	0.003	0.002	0.001	0.0
CPI-SC086D7EC73	COL9A3_integrin_a11b1_complex	simple:Q14050	complex:integrin_a11b1_complex	ENSG00000092758		True	False	False	curated	True	0.142	0.141	0.003	0.002
CPI-SC0C155763A	COL9A2_integrin_a11b1_complex	simple:Q14055	complex:integrin_a11b1_complex	ENSG00000049089		True	False	False	curated	True	0.046	0.045	0.026	0.025
CPI-SC0E09C8768	COL19A1_integrin_a11b1_complex	simple:Q14993	complex:integrin_a11b1_complex	ENSG00000082293		True	False	False	curated	True	0.002	0.001	0.001	0.0
CPI-SC0B09B811A	COL24A1_integrin_a11b1_complex	simple:Q17RW2	complex:integrin_a11b1_complex	ENSG00000171502		True	False	False	curated	True	0.002	0.0	0.001	0.0
CPI-SC0E40282DA	COL28A1_integrin_a11b1_complex	simple:Q2UY09	complex:integrin_a11b1_complex	ENSG00000215018		True	False	False	curated	True	0.016	0.015	0.001	0.0
CPI-SC0FC6454F5	COL27A1_integrin_a11b1_complex	simple:Q8IZC6	complex:integrin_a11b1_complex	ENSG00000196739		True	False	False	curated	True	0.026	0.025	0.002	0.001
CPI-SC015ED6B05	COL22A1_integrin_a11b1_complex	simple:Q8NFW1	complex:integrin_a11b1_complex	ENSG00000169436		True	False	False	curated	True	0.019	0.018	0.002	0.0
CPI-SC08885876E	COL26A1_integrin_a11b1_complex	simple:Q96A83	complex:integrin_a11b1_complex	ENSG00000160963		True	False	False	curated	True	0.002	0.001	0.001	0.0
CPI-SC0C1E494D6	COL21A1_integrin_a11b1_complex	simple:Q96P44	complex:integrin_a11b1_complex	ENSG00000124749		True	False	False	curated	True	0.003	0.001	0.001	0.0
CPI-SC0A3722F1F	COL12A1_integrin_a11b1_complex	simple:Q99715	complex:integrin_a11b1_complex	ENSG00000111799		True	False	False	curated	True	0.004	0.003	0.001	0.0
CPI-SC0BB8BF2C5	COL20A1_integrin_a11b1_complex	simple:Q9P218	complex:integrin_a11b1_complex	ENSG00000101203		True	False	False	curated	True	0.044	0.042	0.003	0.001
CPI-SC0D3C68BD6	COL17A1_integrin_a11b1_complex	simple:Q9UMD9	complex:integrin_a11b1_complex	ENSG00000065618		True	False	False	curated	True	0.001	0.0	0.001	0.0
CPI-SC08DBCCFF0	COL1A1_integrin_a1b1_complex	simple:P02452	complex:integrin_a1b1_complex	ENSG00000108821		True	False	False	curated	True	0.012	0.009	0.005	0.002
CPI-SC0EA8ABCFD	COL2A1_integrin_a1b1_complex	simple:P02458	complex:integrin_a1b1_complex	ENSG00000139219		True	False	False	curated	True	0.005	0.002	0.004	0.001
CPI-SC00367777A	COL3A1_integrin_a1b1_complex	simple:P02461	complex:integrin_a1b1_complex	ENSG00000168542		True	False	False	curated	True	0.01	0.006	0.005	0.002
CPI-SC0744E13CB	COL4A1_integrin_a1b1_complex	simple:P02462	complex:integrin_a1b1_complex	ENSG00000187498		True	False	False	curated	True	0.068	0.065	0.006	0.002
CPI-SC037A0554C	COL5A2_integrin_a1b1_complex	simple:P05997	complex:integrin_a1b1_complex	ENSG00000204262		True	False	False	curated	True	0.068	0.064	0.005	0.002
CPI-SC09DB9D20A	COL1A2_integrin_a1b1_complex	simple:P08123	complex:integrin_a1b1_complex	ENSG00000164692		True	False	False	curated	True	0.044	0.041	0.008	0.004
CPI-SC03F728659	COL4A2_integrin_a1b1_complex	simple:P08572	complex:integrin_a1b1_complex	ENSG00000134871		True	False	False	curated	True	0.071	0.068	0.006	0.003
CPI-SC0E53A238E	COL11A1_integrin_a1b1_complex	simple:P12107	complex:integrin_a1b1_complex	ENSG00000060718		True	False	False	curated	True	0.033	0.029	0.004	0.001
CPI-SC0549A759B	COL6A1_integrin_a1b1_complex	simple:P12109	complex:integrin_a1b1_complex	ENSG00000142156		True	False	False	curated	True	0.157	0.154	0.006	0.003
CPI-SC0F9FB6DCB	COL6A2_integrin_a1b1_complex	simple:P12110	complex:integrin_a1b1_complex	ENSG00000142173		True	False	False	curated	True	0.066	0.063	0.005	0.002
CPI-SC0ECDD1074	COL6A3_integrin_a1b1_complex	simple:P12111	complex:integrin_a1b1_complex	ENSG00000163359		True	False	False	curated	True	0.008	0.004	0.006	0.002
CPI-SC071163509	COL11A2_integrin_a1b1_complex	simple:P13942	complex:integrin_a1b1_complex	ENSG00000204248		True	False	False	curated	True	0.01	0.007	0.004	0.001
CPI-SC070BECDC9	COL9A1_integrin_a1b1_complex	simple:P20849	complex:integrin_a1b1_complex	ENSG00000112280		True	False	False	curated	True	0.025	0.021	0.005	0.002
CPI-SC0592501EA	COL5A1_integrin_a1b1_complex	simple:P20908	complex:integrin_a1b1_complex	ENSG00000130635		True	False	False	curated	True	0.013	0.01	0.005	0.001
CPI-SC0453131F6	COL8A2_integrin_a1b1_complex	simple:P25067	complex:integrin_a1b1_complex	ENSG00000171812		True	False	False	curated	True	0.009	0.006	0.032	0.028
CPI-SC00EAD4C47	COL5A3_integrin_a1b1_complex	simple:P25940	complex:integrin_a1b1_complex	ENSG00000080573		True	False	False	curated	True	0.024	0.02	0.005	0.002
CPI-SC03760D980	COL8A1_integrin_a1b1_complex	simple:P27658	complex:integrin_a1b1_complex	ENSG00000144810		True	False	False	curated	True	0.015	0.012	0.004	0.001
CPI-SC042B580A3	COL4A5_integrin_a1b1_complex	simple:P29400	complex:integrin_a1b1_complex	ENSG00000188153		True	False	False	curated	True	0.014	0.011	0.004	0.001
CPI-SC027893337	COL15A1_integrin_a1b1_complex	simple:P39059	complex:integrin_a1b1_complex	ENSG00000204291		True	False	False	curated	True	0.006	0.003	0.011	0.008
CPI-SC0C739EDCE	COL18A1_integrin_a1b1_complex	simple:P39060	complex:integrin_a1b1_complex	ENSG00000182871		True	False	False	curated	True	0.017	0.014	0.023	0.02
CPI-SC04ABF0023	COL4A4_integrin_a1b1_complex	simple:P53420	complex:integrin_a1b1_complex	ENSG00000081052		True	False	False	curated	True	0.006	0.003	0.004	0.001
CPI-SC0886D58EF	COL4A3_integrin_a1b1_complex	simple:Q01955	complex:integrin_a1b1_complex	ENSG00000169031		True	False	False	curated	True	0.007	0.003	0.004	0.001
CPI-SC0E509A5C6	COL7A1_integrin_a1b1_complex	simple:Q02388	complex:integrin_a1b1_complex	ENSG00000114270		True	False	False	curated	True	0.008	0.005	0.005	0.001
CPI-SC0AB5FBF10	COL14A1_integrin_a1b1_complex	simple:Q05707	complex:integrin_a1b1_complex	ENSG00000187955		True	False	False	curated	True	0.007	0.004	0.004	0.001
CPI-SC06AD39F88	COL16A1_integrin_a1b1_complex	simple:Q07092	complex:integrin_a1b1_complex	ENSG00000084636		True	False	False	curated	True	0.043	0.039	0.005	0.002
CPI-SC0C8B6ACF5	COL4A6_integrin_a1b1_complex	simple:Q14031	complex:integrin_a1b1_complex	ENSG00000197565		True	False	False	curated	True	0.006	0.003	0.004	0.001
CPI-SC0DC74CBE5	COL9A3_integrin_a1b1_complex	simple:Q14050	complex:integrin_a1b1_complex	ENSG00000092758		True	False	False	curated	True	0.145	0.142	0.006	0.003
CPI-SC0270AA5D9	COL9A2_integrin_a1b1_complex	simple:Q14055	complex:integrin_a1b1_complex	ENSG00000049089		True	False	False	curated	True	0.049	0.045	0.029	0.026
CPI-SC079D293A2	COL19A1_integrin_a1b1_complex	simple:Q14993	complex:integrin_a1b1_complex	ENSG00000082293		True	False	False	curated	True	0.005	0.002	0.004	0.001
CPI-SC073A7317A	COL24A1_integrin_a1b1_complex	simple:Q17RW2	complex:integrin_a1b1_complex	ENSG00000171502		True	False	False	curated	True	0.004	0.001	0.004	0.001
CPI-SC01C274A51	COL28A1_integrin_a1b1_complex	simple:Q2UY09	complex:integrin_a1b1_complex	ENSG00000215018		True	False	False	curated	True	0.019	0.016	0.004	0.001
CPI-SC050F64BB5	COL27A1_integrin_a1b1_complex	simple:Q8IZC6	complex:integrin_a1b1_complex	ENSG00000196739		True	False	False	curated	True	0.029	0.026	0.005	0.002
CPI-SC0713C9654	COL22A1_integrin_a1b1_complex	simple:Q8NFW1	complex:integrin_a1b1_complex	ENSG00000169436		True	False	False	curated	True	0.022	0.019	0.005	0.001
CPI-SC01E6BE079	COL26A1_integrin_a1b1_complex	simple:Q96A83	complex:integrin_a1b1_complex	ENSG00000160963		True	False	False	curated	True	0.005	0.001	0.004	0.001
CPI-SC065DB6486	COL21A1_integrin_a1b1_complex	simple:Q96P44	complex:integrin_a1b1_complex	ENSG00000124749		True	False	False	curated	True	0.005	0.002	0.004	0.001
CPI-SC0E83A4B71	COL12A1_integrin_a1b1_complex	simple:Q99715	complex:integrin_a1b1_complex	ENSG00000111799		True	False	False	curated	True	0.007	0.004	0.004	0.001
CPI-SC0804EB2C0	COL20A1_integrin_a1b1_complex	simple:Q9P218	complex:integrin_a1b1_complex	ENSG00000101203		True	False	False	curated	True	0.046	0.043	0.005	0.002
CPI-SC0C841033A	COL17A1_integrin_a1b1_complex	simple:Q9UMD9	complex:integrin_a1b1_complex	ENSG00000065618		True	False	False	curated	True	0.004	0.001	0.004	0.001
CPI-SC03AF43F8B	SEMA7A_integrin_a1b1_complex	simple:O75326	complex:integrin_a1b1_complex	ENSG00000138623		False	False	False	curated	True	0.014	0.011	0.015	0.012
CPI-SC04BCFC59C	COL1A1_integrin_a2b1_complex	simple:P02452	complex:integrin_a2b1_complex	ENSG00000108821		True	False	False	curated	True	0.026	0.008	0.019	0.001
CPI-SC09C62F412	COL2A1_integrin_a2b1_complex	simple:P02458	complex:integrin_a2b1_complex	ENSG00000139219		True	False	False	curated	True	0.02	0.002	0.018	0.0
CPI-SC06A152CC0	COL3A1_integrin_a2b1_complex	simple:P02461	complex:integrin_a2b1_complex	ENSG00000168542		True	False	False	curated	True	0.024	0.006	0.019	0.001
CPI-SC03515B178	COL4A1_integrin_a2b1_complex	simple:P02462	complex:integrin_a2b1_complex	ENSG00000187498		True	False	False	curated	True	0.082	0.064	0.02	0.002
CPI-SC01D1C56CC	FN1_integrin_a2b1_complex	simple:P02751	complex:integrin_a2b1_complex	ENSG00000115414		True	False	False	curated	True	0.107	0.089	0.044	0.026
CPI-SC0345262E7	COL5A2_integrin_a2b1_complex	simple:P05997	complex:integrin_a2b1_complex	ENSG00000204262		True	False	False	curated	True	0.082	0.064	0.019	0.001
CPI-SC03D0A4AD2	COL1A2_integrin_a2b1_complex	simple:P08123	complex:integrin_a2b1_complex	ENSG00000164692		True	False	False	curated	True	0.058	0.04	0.022	0.004
CPI-SC046604E76	COL4A2_integrin_a2b1_complex	simple:P08572	complex:integrin_a2b1_complex	ENSG00000134871		True	False	False	curated	True	0.085	0.067	0.02	0.002
CPI-SC0C8B7BCBB	COL11A1_integrin_a2b1_complex	simple:P12107	complex:integrin_a2b1_complex	ENSG00000060718		True	False	False	curated	True	0.047	0.029	0.019	0.001
CPI-SC0CCB0D955	COL6A1_integrin_a2b1_complex	simple:P12109	complex:integrin_a2b1_complex	ENSG00000142156		True	False	False	curated	True	0.171	0.153	0.02	0.002
CPI-SC01A5C5096	COL6A2_integrin_a2b1_complex	simple:P12110	complex:integrin_a2b1_complex	ENSG00000142173		True	False	False	curated	True	0.081	0.063	0.019	0.001
CPI-SC084C79E20	COL6A3_integrin_a2b1_complex	simple:P12111	complex:integrin_a2b1_complex	ENSG00000163359		True	False	False	curated	True	0.022	0.004	0.02	0.002
CPI-SC0D3C12C3F	COL11A2_integrin_a2b1_complex	simple:P13942	complex:integrin_a2b1_complex	ENSG00000204248		True	False	False	curated	True	0.024	0.006	0.019	0.001
